,url,fours
92,https://www.youtube.com/watch?v=MgZ1QYpX9zM,0.009544054
93,https://www.youtube.com/watch?v=K9PS5Ht0Bbk,0.002849783
94,https://www.youtube.com/watch?v=fMxHX3hpZtY,0.004781549
95,https://www.youtube.com/watch?v=3aG6r8nbVI4,0.009032797
96,https://www.youtube.com/watch?v=WeXrxcUCRDQ,0.000200211
97,https://www.youtube.com/watch?v=7TSbocG3Jzc,0.045812057
98,https://www.youtube.com/watch?v=fgnYzwR8c6o,0.002300576
99,https://www.youtube.com/watch?v=Oa2m2thY5QI,0.005558542
100,https://www.youtube.com/watch?v=a7DUUTfIOb4,0.015969975
101,https://www.youtube.com/watch?v=JQx8S_k6-zo,0.017403135
102,https://www.youtube.com/watch?v=xle7Ig1dexE,0.017646875
103,https://www.youtube.com/watch?v=_uVJ89IcYJ4,0.006981309
104,https://www.youtube.com/watch?v=i9zxSd4a62U,7.76E-05
105,https://www.youtube.com/watch?v=poWI4n59mwc,0.003160257
106,https://www.youtube.com/watch?v=LY1oAC1nUaw,0.011334188
107,https://www.youtube.com/watch?v=mDRK2adFbFs,0.0574114
108,https://www.youtube.com/watch?v=sWuHeGOweTk,0.003772604
109,https://www.youtube.com/watch?v=r0Zgxf7ToN4,0.012038045
110,https://www.youtube.com/watch?v=jHFiBvbpoQU,0.000269692
111,https://www.youtube.com/watch?v=UOOqfakz7Ww,0.007283845
112,https://www.youtube.com/watch?v=Bhgx7GwDZTI,0.01004356
113,https://www.youtube.com/watch?v=Vzy89205Knk,0.006792404
114,https://www.youtube.com/watch?v=Yx27tWeu0_o,0.008119856
115,https://www.youtube.com/watch?v=ZP4x9f8ZsBA,0.001264807
116,https://www.youtube.com/watch?v=2XyShmC-s5g,0.003487025
117,https://www.youtube.com/watch?v=OrfMEVu7FsA,0.024571677
118,https://www.youtube.com/watch?v=iM8cMIrI3So,0.00124814
119,https://www.youtube.com/watch?v=j8PDTJNaPc0,0.01123848
120,https://www.youtube.com/watch?v=w_lCi8U49mY,0.003293073
121,https://www.youtube.com/watch?v=pqDEwPi7vxg,0.007984455
122,https://www.youtube.com/watch?v=G6k7dChBaJ8,0.005375502
123,https://www.youtube.com/watch?v=21mp4Ww0SuE,0.020139693
124,https://www.youtube.com/watch?v=1-iKwZKc7Ok,0.000257265
125,https://www.youtube.com/watch?v=du_zlAe1u1k,0.011400917
126,https://www.youtube.com/watch?v=_-uhOwIoNl4,0.000830365
127,https://www.youtube.com/watch?v=zyWLa15vbDM,0.011813286
128,https://www.youtube.com/watch?v=op7FEhYH_0A,0.028042861
129,https://www.youtube.com/watch?v=oVW6D93V8yk,0.025211488
